IDRSSD,CERT,NAME,CITY,STNAME,DATE,DRLNLS,YYYY_QQ,YYYYQQ,Scenario.Name,Real.GDP.growth,Nominal.GDP.growth,Real.disposable.income.growth,Nominal.disposable.income.growth,Unemployment.rate,CPI.inflation.rate,X3.month.Treasury.rate,X5.year.Treasury.yield,X10.year.Treasury.yield,BBB.corporate.yield,Mortgage.rate,Prime.rate,Dow.Jones.Total.Stock.Market.Index..Level.,House.Price.Index..Level.,Commercial.Real.Estate.Price.Index..Level.,Market.Volatility.Index..Level.,recession_great,recession_covid
12311,6560,The Huntington National Bank,Columbus,Ohio,2023-12-31,454575,2023 Q4,2023Q4,Actual,1.5,3.6,2.2,4.4,3.7,2.8,5.3,4.5,4.5,6.2,7.3,8.5,47787.5,310.5,348.9,21.7,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2023-09-30,321797,2023 Q3,2023Q3,Actual,4.9,8.3,0.3,2.9,3.7,3.6,5.3,4.3,4.2,6,7,8.4,42788.7,309.3,348.9,18.9,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2023-06-30,190826,2023 Q2,2023Q2,Actual,2.1,3.8,3.3,5.8,3.6,2.7,5.1,3.7,3.7,5.7,6.5,8.2,44411.5,303,354,20.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2023-03-31,98634,2023 Q1,2023Q1,Actual,2.2,6.3,10.8,15.5,3.5,3.8,4.6,3.8,3.7,5.6,6.4,7.7,41136.6,299.4,347,26.5,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2022-12-31,313420,2022 Q4,2022Q4,Actual,2.6,6.5,2.2,6.4,3.6,4.2,4,4.1,3.9,6.1,6.7,6.8,38520.6,295.9,350,33.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2022-09-30,216944,2022 Q3,2022Q3,Actual,2.7,7.2,3.6,8.5,3.5,5.5,2.7,3.3,3.2,5.3,5.6,5.4,36098,295.8,351,32.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2022-06-30,133647,2022 Q2,2022Q2,Actual,-0.6,8.5,-1.4,5.7,3.6,9.7,1.1,3,3,4.9,5.3,3.9,37976.5,298.2,345.1,34.8,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2022-03-31,81138,2022 Q1,2022Q1,Actual,-2,6.2,-9.8,-2.9,3.8,9.2,0.3,1.9,2,3.5,3.8,3.3,45847.3,289.5,346.3,36.5,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2021-12-31,382109,2021 Q4,2021Q4,Actual,7,14.6,-5.6,0.7,4.2,8.8,0.1,1.2,1.6,2.7,3.1,3.3,48634.3,276.4,354.2,31.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2021-09-30,303223,2021 Q3,2021Q3,Actual,3.3,9.5,-5.2,0.1,5.1,6.6,0,0.8,1.4,2.4,2.9,3.3,44705.8,265.8,340.8,25.7,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2021-06-30,196771,2021 Q2,2021Q2,Actual,6.2,12.8,-27.6,-23.1,5.9,7.5,0,0.8,1.6,2.6,3,3.3,44904.3,254.7,317.1,27.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2021-03-31,95113,2021 Q1,2021Q1,Actual,5.2,10.9,56,63.5,6.2,4.2,0.1,0.6,1.4,2.4,2.9,3.3,41602.7,243,308.9,37.2,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2020-12-31,540325,2020 Q4,2020Q4,Actual,4.2,7.1,-7.7,-5.8,6.7,2.8,0.1,0.4,0.9,2.3,2.8,3.3,39219.6,235.5,304.6,40.3,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2020-09-30,399903,2020 Q3,2020Q3,Actual,34.8,39.7,-13.3,-10.4,8.8,4.6,0.1,0.3,0.6,2.4,3,3.3,34305.8,227,295.2,33.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2020-06-30,259685,2020 Q2,2020Q2,Actual,-28,-29.2,45.7,43.2,13,-3.8,0.1,0.4,0.7,3.4,3.2,3.3,31576.8,219.7,288.9,57.1,0,1
12311,6560,The Huntington National Bank,Columbus,Ohio,2020-03-31,135767,2020 Q1,2020Q1,Actual,-5.3,-3.5,2.4,3.7,3.8,1.4,1.1,1.2,1.4,3.4,3.5,4.4,25984.8,218.1,295.7,82.7,0,1
12311,6560,The Huntington National Bank,Columbus,Ohio,2019-12-31,362155,2019 Q4,2019Q4,Actual,2.6,3.9,2.3,3.9,3.6,2.8,1.6,1.6,1.8,3.3,3.7,4.8,33035.4,215,291.3,20.6,0,1
12311,6560,The Huntington National Bank,Columbus,Ohio,2019-09-30,269088,2019 Q3,2019Q3,Actual,4.6,5.9,2.8,3.8,3.6,1.4,2,1.7,1.8,3.4,3.7,5.3,30441.8,211.9,294.3,24.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2019-06-30,166687,2019 Q2,2019Q2,Actual,3.4,5.4,-0.3,1.8,3.6,2.9,2.3,2.1,2.4,4,4,5.5,30243.8,209.4,296.6,20.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2019-03-31,97273,2019 Q1,2019Q1,Actual,2.2,3.6,4.7,5.6,3.9,1.1,2.4,2.5,2.7,4.5,4.4,5.5,29193.9,207.4,284.1,25.5,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2018-12-31,261211,2018 Q4,2018Q4,Actual,0.6,2.3,3.9,5.5,3.8,1.6,2.3,2.9,3,4.8,4.8,5.3,25724.5,205.8,272,36.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2018-09-30,180257,2018 Q3,2018Q3,Actual,2.5,4.3,4.3,5.7,3.8,1.6,2,2.8,2.9,4.5,4.6,5,30189.6,204,275.1,16.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2018-06-30,122952,2018 Q2,2018Q2,Actual,2.1,5.1,3.6,5.8,3.9,2.2,1.8,2.8,2.9,4.5,4.5,4.8,28313.8,202,274.6,23.6,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2018-03-31,72804,2018 Q1,2018Q1,Actual,3.3,5.9,4.3,7.2,4,3.4,1.6,2.5,2.8,4.1,4.3,4.5,27383,199.8,273.5,37.3,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2017-12-31,252773,2017 Q4,2017Q4,Actual,4.6,7.2,2.5,5,4.2,3.2,1.2,2.1,2.4,3.7,3.9,4.3,27673.2,196.7,271,13.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2017-09-30,192008,2017 Q3,2017Q3,Actual,3.2,5.3,2.8,4.3,4.3,1.9,1,1.8,2.3,3.7,3.9,4.3,26148.5,193.6,266.7,16,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2017-06-30,127235,2017 Q2,2017Q2,Actual,2.3,3.3,4.4,5.3,4.4,0.5,0.9,1.8,2.3,3.8,4,4,25125,190.7,271.9,16,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2017-03-31,70790,2017 Q1,2017Q1,Actual,2,4.1,4.2,6.7,4.6,2.8,0.6,2,2.5,4,4.2,3.8,24508.3,188,252.2,13.1,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2016-12-31,244334,2016 Q4,2016Q4,Actual,2.2,4.2,2.6,4.5,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23276.7,185.5,257.2,22.5,0,0
12311,6560,The Huntington National Bank,Columbus,Ohio,2016-09-30,179101,2016 Q3,2016Q3,Actual,2.9,3.9,2.3,3.7,4.9,1.7,0.3,1.2,1.6,3.5,3.4,3.5,22468.6,182.7,256.3,18.1,0,0
